Start,End,Duration,Subject,Task
2020-08-03 10:10:30.637365,2020-08-03 10:10:35.946381,0 days 00:00:05.309016000,MTI,Work
2020-08-03 10:17:00.000000,2020-08-03 13:12:00.000000,0 days 02:55:00.000000000,MTI,Work
2020-08-03 14:20:43.082471,2020-08-03 15:38:28.405262,0 days 01:17:45.322791000,MTI,Work
2020-08-03 16:24:42.505335,2020-08-03 18:04:31.140254,0 days 01:39:48.634919000,MTI,Work
2020-08-03 18:13:42.434507,2020-08-03 18:27:35.948464,0 days 00:13:53.513957000,Econ Fed,Reading
2020-08-03 20:23:09.978308,2020-08-03 21:19:07.467050,0 days 00:55:57.488742000,Econ Fed,Reading
2020-08-03 21:47:42.456054,2020-08-03 22:08:22.010927,0 days 00:20:39.554873000,F1 Blog,Writing Article
2020-08-03 22:48:56.874244,2020-08-03 23:42:38.501755,0 days 00:53:41.627511000,F1 Blog,Writing Article
2020-08-04 10:25:50.838341,2020-08-04 11:06:02.254035,0 days 00:40:11.415694000,MTI,Work
2020-08-04 11:23:06.764299,2020-08-04 12:09:22.995463,0 days 00:46:16.231164000,MTI,Work
2020-08-04 12:11:43.307365,2020-08-04 13:08:17.088008,0 days 00:56:33.780643000,MTI,Work
2020-08-04 14:29:05.694767,2020-08-04 17:05:42.284938,0 days 02:36:36.590171000,MTI,Work
2020-08-04 18:07:47.858284,2020-08-04 19:12:18.159003,0 days 01:04:30.300719000,MTI,Work
2020-08-04 23:00:00.000000,2020-08-05 00:40:00.000000,0 days 01:40:00.000000000,Econ Fed,Meeting
2020-08-05 10:15:43.229214,2020-08-05 11:52:13.247650,0 days 01:36:30.018436000,MTI,Work
2020-08-05 12:04:58.251455,2020-08-05 13:01:23.982465,0 days 00:56:25.731010000,MTI,Work
2020-08-05 13:39:34.586459,2020-08-05 15:33:51.799292,0 days 01:54:17.212833000,MTI,Work
2020-08-05 20:49:39.870940,2020-08-05 22:19:47.320153,0 days 01:30:07.449213000,Quant,Probability
2020-08-06 10:02:03.108018,2020-08-06 12:37:21.516270,0 days 02:35:18.408252000,MTI,Work
2020-08-06 12:50:33.129048,2020-08-06 13:03:35.650330,0 days 00:13:02.521282000,MTI,Work
2020-08-06 13:32:29.831393,2020-08-06 16:09:37.779595,0 days 02:37:07.948202000,MTI,Work
2020-08-07 10:23:04.261884,2020-08-07 11:52:22.621536,0 days 01:29:18.359652000,OPT,Work
2020-08-07 12:01:13.226125,2020-08-07 13:16:05.558869,0 days 01:14:52.332744000,OPT,Work
2020-08-07 14:53:00.000000,2020-08-07 15:52:00.000000,0 days 00:59:00.000000000,OPT,Work
2020-08-07 15:55:19.187403,2020-08-07 18:16:04.232514,0 days 02:20:45.045111000,MTI,Work
2020-08-07 22:30:00.000000,2020-08-08 00:15:00.000000,0 days 01:45:00.000000000,OPT,Meeting
2020-08-08 10:15:00.000000,2020-08-08 13:00:00.000000,0 days 02:45:00.000000000,Coding,Update Telegram Bot
2020-08-08 15:00:00.000000,2020-08-08 16:45:00.000000,0 days 01:45:00.000000000,Coding,Update Telegram Bot
2020-08-09 09:09:25.203760,2020-08-09 09:09:31.543466,0 days 00:00:06.339706000,Coding,Fix Bug
2020-08-09 10:37:16.335030,2020-08-09 10:37:25.027306,0 days 00:00:08.692276000,Coding,Fix Bug
2020-08-10 10:00:00.000000,2020-08-10 12:00:00.000000,0 days 02:00:00.000000000,Coding,Hack the Bay
2020-08-10 16:00:00.000000,2020-08-10 18:00:00.000000,0 days 02:00:00.000000000,Coding,Hack the Bay
2020-08-10 21:30:00.000000,2020-08-10 22:00:00.000000,0 days 00:30:00.000000000,Coding,Hack the Bay
2020-08-10 22:30:00.000000,2020-08-10 23:45:00.000000,0 days 01:15:00.000000000,Coding,Hack the Bay
2020-08-10 23:39:53.315521,2020-08-10 23:40:01.560400,0 days 00:00:08.244879000,ECON,HW1
2020-08-11 09:55:35.103837,2020-08-11 13:07:43.236753,0 days 03:12:08.132916000,MTI,Work
2020-08-11 13:45:18.316362,2020-08-11 15:19:20.782223,0 days 01:34:02.465861000,MTI,Work
2020-08-11 15:19:31.716013,2020-08-11 16:47:39.722503,0 days 01:28:08.006490000,MTI,Listen to ECDRM
2020-08-11 16:47:51.962903,2020-08-11 19:24:08.370230,0 days 02:36:16.407327000,MTI,Work
2020-08-11 20:15:28.305260,2020-08-11 21:02:14.103364,0 days 00:46:45.798104000,MTI,Work
2020-08-12 06:15:00.000000,2020-08-12 08:30:00.000000,0 days 02:15:00.000000000,Coding,Hack the Bay
2020-08-12 11:00:00.000000,2020-08-12 12:12:00.000000,0 days 01:12:00.000000000,MTI,Work
2020-08-12 12:24:00.000000,2020-08-12 13:10:00.000000,0 days 00:46:00.000000000,MTI,Work
2020-08-12 14:39:00.000000,2020-08-12 16:13:00.000000,0 days 01:34:00.000000000,MTI,Work
2020-08-12 14:39:00.000000,2020-08-12 16:13:00.000000,0 days 01:34:00.000000000,MTI,Work
2020-08-12 16:29:00.000000,2020-08-12 18:23:00.000000,0 days 01:54:00.000000000,MTI,Work
2020-08-13 10:26:00.000000,2020-08-13 13:12:00.000000,0 days 02:46:00.000000000,MTI,Work
2020-08-13 13:35:00.000000,2020-08-13 13:45:00.000000,0 days 00:10:00.000000000,MTI,Work
2020-08-13 14:19:00.000000,2020-08-13 18:23:00.000000,0 days 04:04:00.000000000,MTI,Work
2020-08-13 23:44:00.000000,2020-08-14 03:06:00.000000,0 days 03:22:00.000000000,MTI,Work
2020-08-14 07:30:00.000000,2020-08-14 08:15:00.000000,0 days 00:45:00.000000000,MTI,Work
2020-08-14 08:48:12.327547,2020-08-14 10:33:57.375107,0 days 01:45:45.047560000,MTI,Work
2020-08-14 14:20:59.074130,2020-08-14 15:07:56.001362,0 days 00:46:56.927232000,MTI,Work
2020-08-14 17:30:27.354071,2020-08-14 18:42:43.540908,0 days 01:12:16.186837000,MTI,Work
2020-08-15 11:34:39.969417,2020-08-15 13:57:04.554611,0 days 02:22:24.585194000,Coding,Hack the Bay
2020-08-15 22:45:00.000000,2020-08-16 00:00:00.000000,0 days 01:15:00.000000000,Coding,Hack the Bay
2020-08-16 00:30:00.000000,2020-08-16 02:00:00.000000,0 days 01:30:00.000000000,Coding,Hack the Bay
2020-08-16 10:15:00.000000,2020-08-16 11:00:00.000000,0 days 00:45:00.000000000,Coding,Hack the Bay
2020-08-16 17:56:07.821245,2020-08-16 17:56:12.179310,0 days 00:00:04.358065000,Coding,Hack the Bay
2020-08-16 17:56:42.767710,2020-08-16 17:56:48.111591,0 days 00:00:05.343881000,Coding,Hack the Bay
2020-08-17 09:42:47.989931,2020-08-17 13:01:41.922767,0 days 03:18:53.932836000,MTI,Work
2020-08-17 15:18:31.696638,2020-08-17 18:39:50.199618,0 days 03:21:18.502980000,MTI,Work
2020-08-18 08:43:00.000000,2020-08-18 12:00:00.000000,0 days 03:17:00.000000000,MTI,Work
2020-08-18 15:15:00.000000,2020-08-18 18:30:00.000000,0 days 03:15:00.000000000,MTI,Work
2020-08-18 21:56:00.000000,2020-08-19 01:00:00.000000,0 days 03:04:00.000000000,MTI,Work
2020-08-19 08:50:00.000000,2020-08-19 12:00:00.000000,0 days 03:10:00.000000000,MTI,Work
2020-08-19 12:30:00.000000,2020-08-19 13:00:00.000000,0 days 00:30:00.000000000,MTI,Work
2020-08-19 15:30:00.000000,2020-08-19 17:00:00.000000,0 days 01:30:00.000000000,MTI,Work
2020-08-20 10:30:00.000000,2020-08-20 11:30:00.000000,0 days 01:00:00.000000000,MTI,Random Reading
2020-08-20 15:17:38.322523,2020-08-20 16:53:12.717486,0 days 01:35:34.394963000,Coding,Hack the Bay
2020-08-21 10:30:00.000000,2020-08-21 12:30:00.000000,0 days 02:00:00.000000000,MTI, Listen to ECDRM
2020-08-21 17:53:36.213478,2020-08-21 19:03:53.375571,0 days 01:10:17.162093000,OPT,Work
2020-08-22 14:35:00.000000,2020-08-22 17:35:00.000000,0 days 03:00:00.000000000,Coding,Hack the Bay
2020-08-22 21:45:00.000000,2020-08-23 00:30:00.000000,0 days 02:45:00.000000000,Econ Fed,Prep
2020-08-23 10:59:12.243439,2020-08-23 12:33:49.523383,0 days 01:34:37.279944000,Coding,Hack the Bay
2020-08-23 19:51:16.403929,2020-08-23 22:05:21.204745,0 days 02:14:04.800816000,Coding,Hack the Bay
2020-08-23 22:20:33.972138,2020-08-23 22:20:39.208102,0 days 00:00:05.235964000,Coding,Hack the Bay
2020-08-24 14:10:00.000000,2020-08-24 19:00:00.000000,0 days 04:50:00.000000000,MTI,Presentation Prep
2020-08-24 23:09:56.982074,2020-08-25 02:22:00.309822,0 days 03:12:03.327748000,Coding,Hack the Bay
2020-08-25 10:30:00.000000,2020-08-25 11:15:00.000000,0 days 00:45:00.000000000,Recruiting,Tidying Resume and Researching Firms
2020-08-25 11:28:08.317856,2020-08-25 12:43:42.494289,0 days 01:15:34.176433000,Coding,Tidy up MTI Code
2020-08-25 16:00:00.000000,2020-08-25 19:20:00.000000,0 days 03:20:00.000000000,Coding, Hack the Bay
2020-08-25 22:30:00.000000,2020-08-26 00:01:00.000000,0 days 01:31:00.000000000,Coding, Hack the Bay
2020-08-26 14:32:18.297411,2020-08-26 16:04:08.138663,0 days 01:31:49.841252000,Probability,Green Book
2020-08-26 16:44:45.833111,2020-08-26 18:24:20.792207,0 days 01:39:34.959096000,Derivatives,Revise Options OIDD353
2020-08-26 21:16:19.751447,2020-08-26 22:01:13.689058,0 days 00:44:53.937611000,Derivatives,Revise Options OIDD353
2020-08-27 09:28:16.090752,2020-08-27 11:26:23.867237,0 days 01:58:07.776485000,Derivatives,Revise Options OIDD353
2020-08-27 11:50:00.000000,2020-08-27 12:15:00.000000,0 days 00:25:00.000000000,Derivatives,Revise Options OIDD353
2020-08-27 21:49:46.020855,2020-08-27 22:52:54.116321,0 days 01:03:08.095466000,Derivatives,Revise Options OIDD353
2020-08-28 09:56:39.050684,2020-08-28 11:06:28.988832,0 days 01:09:49.938148000,Derivatives,Revise Options OIDD353
2020-08-28 14:54:32.922943,2020-08-28 15:27:12.355767,0 days 00:32:39.432824000,Derivatives,Revise Options OIDD353
2020-08-28 16:03:53.648144,2020-08-28 18:34:41.916689,0 days 02:30:48.268545000,Derivatives,Revise Options OIDD353
2020-08-28 21:13:57.540773,2020-08-28 22:11:54.598666,0 days 00:57:57.057893000,Coding Prep,Python Book
2020-08-29 00:32:56.042466,2020-08-29 03:30:18.910770,0 days 02:57:22.868304000,Coding Prep,Python Book
2020-08-29 04:01:58.037703,2020-08-29 04:33:18.086591,0 days 00:31:20.048888000,Coding Prep,Python Book
2020-08-30 06:27:46.095449,2020-08-30 07:19:34.151444,0 days 00:51:48.055995000,Probability,Green Book
2020-08-30 20:45:00.000000,2020-08-30 21:00:00.000000,0 days 00:15:00.000000000,Mental Math,Practice
2020-08-31 00:05:00.000000,2020-08-31 01:30:00.000000,0 days 01:25:00.000000000,Econ Fed,Meeting
2020-08-31 02:36:24.682201,2020-08-31 04:29:19.861918,0 days 01:52:55.179717000,Probability,Green Book
2020-08-31 05:02:27.080247,2020-08-31 06:23:31.884526,0 days 01:21:04.804279000,Probability,Textbook
2020-08-31 21:02:44.426703,2020-08-31 22:31:10.783230,0 days 01:28:26.356527000,Probability,Textbook
2020-08-31 22:52:09.158560,2020-09-01 00:07:21.623874,0 days 01:15:12.465314000,Probability,Textbook
2020-09-01 00:58:47.815854,2020-09-01 02:17:07.178859,0 days 01:18:19.363005000,Probability,Textbook
2020-09-01 02:56:42.905974,2020-09-01 04:52:10.049176,0 days 01:55:27.143202000,Probability,Textbook
2020-09-01 04:57:29.576038,2020-09-01 06:00:07.970719,0 days 01:02:38.394681000,Probability,Textbook
2020-09-01 06:19:21.155797,2020-09-01 07:41:28.152262,0 days 01:22:06.996465000,Coding Prep,LeetCode
2020-09-01 23:15:30.273753,2020-09-02 01:29:16.001774,0 days 02:13:45.728021000,Coding Prep,Dynamic Programming
2020-09-02 03:19:42.360212,2020-09-02 05:40:00.973585,0 days 02:20:18.613373000,Coding Prep,Dynamic Programming
2020-09-02 05:54:05.899736,2020-09-02 07:04:31.302006,0 days 01:10:25.402270000,Coding Prep,Dynamic Programming
2020-09-03 00:23:06.747926,2020-09-03 01:30:02.541209,0 days 01:06:55.793283000,Coding Prep,Dynamic Programming
2020-09-03 03:26:28.382904,2020-09-03 06:30:14.854919,0 days 03:03:46.472015000,Coding Prep,Dynamic Programming
2020-09-03 06:42:53.347129,2020-09-03 07:17:22.726174,0 days 00:34:29.379045000,Stats Prep,Linear Regression
2020-09-03 07:21:52.835884,2020-09-03 07:34:37.377027,0 days 00:12:44.541143000,Stats Prep,Linear Regression
2020-09-03 10:44:00.000000,2020-09-03 13:29:00.000000,0 days 02:45:00.000000000,Stats Prep,Linear Regression
2020-09-03 15:16:00.000000,2020-09-03 16:56:00.000000,0 days 01:40:00.000000000,Stats Prep,Linear Regression
2020-09-04 12:51:00.000000,2020-09-04 15:27:00.000000,0 days 02:36:00.000000000,Probability,Expectation
2020-09-04 15:30:00.000000,2020-09-04 17:03:00.000000,0 days 01:33:00.000000000,Probability,Expectation
2020-09-05 11:04:00.000000,2020-09-05 13:51:00.000000,0 days 02:47:00.000000000,Probability,Expectation
2020-09-05 14:38:00.000000,2020-09-05 17:35:00.000000,0 days 02:57:00.000000000,Probability,Expectation
2020-09-05 18:21:00.000000,2020-09-05 18:41:00.000000,0 days 00:20:00.000000000,Math Prep,Calculus Revision
2020-09-06 13:44:13.317404,2020-09-06 13:44:22.647641,0 days 00:00:09.330237000,Math Prep,Calculus Revision
2020-09-06 13:44:42.954560,2020-09-06 15:16:00.388347,0 days 01:31:17.433787000,Math Prep,Calculus Revision
2020-09-06 16:05:37.421977,2020-09-06 18:25:39.024190,0 days 02:20:01.602213000,Probability,Expectation
2020-09-06 18:51:44.347370,2020-09-06 19:13:16.141955,0 days 00:21:31.794585000,Math Prep,GS Mock Test
2020-09-06 19:14:37.756095,2020-09-06 20:49:18.653799,0 days 01:34:40.897704000,Coding Prep,DFS
2020-09-07 10:46:43.143474,2020-09-07 14:53:00.463906,0 days 04:06:17.320432000,Coding,Graph
2020-09-07 15:29:03.907182,2020-09-07 17:31:06.001457,0 days 02:02:02.094275000,Coding Prep,DFS
2020-09-07 17:45:00.000000,2020-09-07 18:15:00.000000,0 days 00:30:00.000000000,Probability,Conditional Probability
2020-09-07 18:13:19.644486,2020-09-07 19:15:18.824710,0 days 01:01:59.180224000,Probability,Conditional Probability
2020-09-07 20:16:09.302515,2020-09-07 21:41:33.922674,0 days 01:25:24.620159000,Probability,Review so far
2020-09-07 22:15:00.000000,2020-09-07 23:00:00.000000,0 days 00:45:00.000000000,MKTG101,Watch Lecture 1
2020-09-08 08:45:00.000000,2020-09-08 09:30:00.000000,0 days 00:45:00.000000000,Math Prep,Linear Algebra Review
2020-09-08 13:33:05.348523,2020-09-08 15:11:41.243318,0 days 01:38:35.894795000,Recruiting,GS Hackerrank
2020-09-08 15:39:48.202911,2020-09-08 17:32:04.389093,0 days 01:52:16.186182000,ECON233,Watch Lecture
2020-09-08 17:30:00.000000,2020-09-08 18:00:00.000000,0 days 00:30:00.000000000,Recruiting,Research Firms
2020-09-08 18:06:47.570431,2020-09-08 19:22:07.674140,0 days 01:15:20.103709000,ECON246,Watch Lecture
2020-09-09 08:33:45.207326,2020-09-09 10:30:49.027339,0 days 01:57:03.820013000,ECON246,Watch Lecture
2020-09-09 09:30:00.000000,2020-09-09 10:20:00.000000,0 days 00:50:00.000000000,Coding,Hack the Bay
2020-09-09 12:00:00.000000,2020-09-09 12:30:00.000000,0 days 00:30:00.000000000,CIS520,HW0
2020-09-09 12:30:00.000000,2020-09-09 13:15:00.000000,0 days 00:45:00.000000000,CIS545,Watch Lecture and HW0
2020-09-09 15:30:00.000000,2020-09-09 16:05:00.000000,0 days 00:35:00.000000000,Recruiting,AQR Cover Letter
2020-09-09 16:16:43.602840,2020-09-09 17:28:37.176639,0 days 01:11:53.573799000,Probability,QuantQuestions Prob Questions
2020-09-09 17:28:53.330175,2020-09-09 19:18:11.717170,0 days 01:49:18.386995000,Probability,Conditional Probability
2020-09-10 09:09:28.845297,2020-09-10 10:40:28.690874,0 days 01:30:59.845577000,Probability,Conditional Probability
2020-09-10 11:24:10.077515,2020-09-10 12:36:04.598610,0 days 01:11:54.521095000,Probability,RV
2020-09-10 14:23:08.162023,2020-09-10 15:29:48.893135,0 days 01:06:40.731112000,Probability,RV
2020-09-10 15:30:00.000000,2020-09-10 16:00:00.000000,0 days 00:30:00.000000000,Recruiting,Researching Citadel
